Model,MAE,RMSE,R2,Cross Validation
Random Forest,3499.41934065934,8710.5472548069,0.9846617292013019,0.9834926578501069
Decision Tree,11711.923043676585,18914.299074014834,0.9276787335917118,0.9271551538143215
Gradient Boosting,20299.701464418264,28353.108224697775,0.8374874630929261,0.8394651840166205
Linear Regression,22869.831124698867,31342.922220000226,0.8014067474978136,0.7982220825756351
Lasso Regression,22861.51920637398,31349.526744993083,0.8013230442437995,0.798244006805568
Ridge Regression,22862.074398990815,31352.38745506153,0.8012867832115859,0.7982158835095923
